image,query,label,human_or_machine
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/46ec3746-1ad5-4d0c-bb62-9749ecf0ba94250801_135705.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=VlAJmXUfLaxpKGt%2FlcIQ6LP5OIM%3D,Is the value of Favorable 38 in 2015?,"[""Yes""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/0df305ae-7e59-431e-957c-8a9d639d0a01250801_135705.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=EPHMP5syzFaiKcSSALusxXfRax4%3D,How many values are below 40 in Unfavorable graph?,"[""6""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/b53e5eea-c4d2-4e84-90b5-ad2d0d2cc8ca250801_135705.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=4I0VkBc85UvdH%2F1CvtqxDNI%2FU3s%3D,In which year the value was 51?,"[""2014""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/ca0900d8-aee6-41bf-b297-65bebafb83df250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=v2YokaM7TF6ywRr6E1WdoGcaNQc%3D,What is the sum favourable  value in the year 2014 and 2015?,"[""95""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/87ab6760-58c1-448e-9327-b02dac5bb882250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=zzYlqJSCzin%2BuvJ5RzXTknMBpws%3D,In which year the Mexican governments campaign against drugs traffickers is making 47 percent progress?,"[""2012""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/73920322-81ea-4f7e-9fd4-b35870f951a8250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=TwPr9i0MBcCX3Gsw7m%2FHSubEzFU%3D,"What is the sum of making progress ,losing ground and same in the year 2011?","[""99""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/1bc525e6-e944-4005-84b5-840a2d3c16f5250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=EN%2Bp26WRZULg6DZJa08EUk%2FDv%2Fk%3D,How many intercepting point(s) is/are there?,"[""1""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/4687db31-cb78-4c79-8f8f-1dcd7ac04b90250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=CUKTcDV7PtcqACaJ%2Fn5DqOyTvg8%3D,Which year has the most divergent opinions about Brazil's economy?,"[""2015""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/bef6115b-03af-4cf2-89f0-a0f00686760e250801_135706.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=3jl0S5rxmKnOz5HUU3JkAeVJnaM%3D,Which line contains smaller values across all years?,"[""Unfavorable""]",0
https://dataset-hub.oss-cn-hangzhou.aliyuncs.com/universal_dataset/HuggingFaceM4/ChartQA/master/data/693983d2-bf25-4b7f-b3e4-6af62892aec2250801_135707.png?Expires=1780900926&OSSAccessKeyId=LTAI5tAoCEDFQFyV5h8unjt8&Signature=txZ1HNlg9FTxPEGO72NNQ2p06TQ%3D,Deduct the most unfavorable view from the most favorable view?,"[""49""]",0
